Run number;Max width;Min width;Number of orders;Average reel width;Deviation of widths;Number of ordered reels;Weighted average width;Total waste percentage
00864;5000;1700;141;3472.34042553192;937.481914719176;1042.72972001405;3484.50449030932;4.6135646688
00873;4900;500;198;3013.63636363636;1110.61601285551;1570.90535408305;2924.99752408021;0.0758001123
00878;4800;500;102;3041.17647058824;1155.38797574252;833.757070595362;3125.837079954;0.5335365854
00879;5000;900;192;3378.125;1061.28472229657;1489.97176326034;3262.41634105934;1.2809248877
00882;5000;600;117;3548.71794871795;972.874817816035;843.603337595109;3570.2426410663;10.7604178367
00884;4700;2000;147;2977.55102040816;743.537998989112;1014.62743044819;2967.71732859392;4.0803527132
00890;5000;500;150;2920;1114.2156479188;1155.88458984842;2919.47488448791;0.4320862629
00892;5000;700;216;3366.66666666667;849.67846175603;1652.75012919764;3463.88175515768;6.0085024354
00897;5000;500;129;3062.79069767442;1228.37988878148;968.21596622527;3206.17420188924;1.79969589
00907;5000;500;123;1778.0487804878;1026.73576224353;872.897642877905;1777.57042692813;1.2345679012
00913;4600;500;159;1909.43396226415;1121.52656208945;1242.35697261676;1953.09754727414;0.9433962264
00927;5000;700;69;1973.91304347826;1099.55233857627;490.631147924473;2181.86871883484;0
00932;5000;500;126;1852.38095238095;1342.75622721114;1059.99720188322;1997.98304961209;1.2539184953
00937;4700;600;84;2175;1435.0076612868;611.35175127806;2147.32591092523;1.2345679012
00940;4200;500;135;1584.44444444444;820.617411053033;1105.83106449191;1560.53034290027;0
00945;4900;500;120;2082.5;1274.35351875227;852.678864448731;1836.76841603223;0.9287925697
00946;5000;500;87;1755.1724137931;1395.32097005052;673.706661636931;1824.28197399353;0.9287925697
00949;4600;500;108;1622.22222222222;965.704752904288;890.808733550217;1693.37340906939;0
00952;4300;600;105;1842.85714285714;899.129615758521;880.759222685545;1852.61783328436;1.2345679012
00957;4500;600;159;2205.66037735849;819.944833202856;1271.97497427314;2345.38908357867;0
00962;4600;500;186;2498.38709677419;1030.06039216557;1530.23721516911;2440.00850284356;0
00964;4600;500;141;1617.02127659574;956.851790793158;1045.08148611456;1770.78762088688;0
00968;4900;500;189;2322.22222222222;1061.32862004014;1491.42672858001;2364.0246129963;1.2539184953
00975;5000;800;162;2598.14814814815;1081.14686186568;1188.06379692789;2555.3497100979;0.995568506
00981;4800;500;132;2081.81818181818;1048.941173284;1029.66061805297;1977.69420428107;0.3115264798
